Artist,Time,Buhne,Date,Timestamp,X,Y
Donots,17:30,Hauptbuhne,2017-07-21,2017-07-21 17:30:00,8.37376284,48.99776582
Jennifer Rostock,19:10,Hauptbuhne,2017-07-21,2017-07-21 19:10:00,8.37376284,48.99776582
Sportfreunde Stiller,21:00,Hauptbuhne,2017-07-21,2017-07-21 21:00:00,8.37376284,48.99776582
Meute,23:00,Hauptbuhne,2017-07-21,2017-07-21 23:00:00,8.37376284,48.99776582
Mars of Illyricum,20:00,Feldbuhne,2017-07-21,2017-07-21 20:00:00,8.37221654,49.00138549
Astronautalis,21:15,Feldbuhne,2017-07-21,2017-07-21 21:15:00,8.37221654,49.00138549
Curse,22:30,Feldbuhne,2017-07-21,2017-07-21 22:30:00,8.37221654,49.00138549
OstWest Brothers,18:00,DJ-Buhne,2017-07-21,2017-07-21 18:00:00,8.3721874,48.99948011
DJ SiMa,19:30,DJ-Buhne,2017-07-21,2017-07-21 19:30:00,8.3721874,48.99948011
Daniel Metzger,22:00,DJ-Buhne,2017-07-21,2017-07-21 22:00:00,8.3721874,48.99948011
Le Filou,23:00,DJ-Buhne,2017-07-21,2017-07-21 23:00:00,8.3721874,48.99948011
Himmelblau,13:00,Hauptbuhne,2017-07-22,2017-07-22 13:00:00,8.37376284,48.99776582
Reaching 62 F,13:50,Hauptbuhne,2017-07-22,2017-07-22 13:50:00,8.37376284,48.99776582
All Haze Red,14:50,Hauptbuhne,2017-07-22,2017-07-22 14:50:00,8.37376284,48.99776582
Drangsal,16:00,Hauptbuhne,2017-07-22,2017-07-22 16:00:00,8.37376284,48.99776582
Zebrahead,17:30,Hauptbuhne,2017-07-22,2017-07-22 17:30:00,8.37376284,48.99776582
Feine Sahne Fischfilet,19:00,Hauptbuhne,2017-07-22,2017-07-22 19:00:00,8.37376284,48.99776582
Sido,21:00,Hauptbuhne,2017-07-22,2017-07-22 21:00:00,8.37376284,48.99776582
Al Jawala,23:00,Hauptbuhne,2017-07-22,2017-07-22 23:00:00,8.37376284,48.99776582
Brothers Of Santa Claus,13:00,Feldbuhne,2017-07-22,2017-07-22 13:00:00,8.37221654,49.00138549
Finding Harbours,14:45,Feldbuhne,2017-07-22,2017-07-22 14:45:00,8.37221654,49.00138549
Resistance,16:00,Feldbuhne,2017-07-22,2017-07-22 16:00:00,8.37221654,49.00138549
Grizzly,17:15,Feldbuhne,2017-07-22,2017-07-22 17:15:00,8.37221654,49.00138549
Mother´s Cake,18:30,Feldbuhne,2017-07-22,2017-07-22 18:30:00,8.37221654,49.00138549
The Hirsch Effekt,20:15,Feldbuhne,2017-07-22,2017-07-22 20:15:00,8.37221654,49.00138549
Django S.,22:15,Feldbuhne,2017-07-22,2017-07-22 22:15:00,8.37221654,49.00138549
NuM,16:30,DJ-Buhne,2017-07-22,2017-07-22 16:30:00,8.3721874,48.99948011
Gustl,18:00,DJ-Buhne,2017-07-22,2017-07-22 18:00:00,8.3721874,48.99948011
Kitchen Tunes,19:00,DJ-Buhne,2017-07-22,2017-07-22 19:00:00,8.3721874,48.99948011
Mister Natasha,20:30,DJ-Buhne,2017-07-22,2017-07-22 20:30:00,8.3721874,48.99948011
DJ Massl,22:00,DJ-Buhne,2017-07-22,2017-07-22 22:00:00,8.3721874,48.99948011
Thomas Siffling,15:00,Hauptbuhne,2017-07-23,2017-07-23 15:00:00,8.37376284,48.99776582
Lotte,16:20,Hauptbuhne,2017-07-23,2017-07-23 16:20:00,8.37376284,48.99776582
Jack Savoretti,17:45,Hauptbuhne,2017-07-23,2017-07-23 17:45:00,8.37376284,48.99776582
LaBrassBanda,19:15,Hauptbuhne,2017-07-23,2017-07-23 19:15:00,8.37376284,48.99776582
Amy Macdonald,21:00,Hauptbuhne,2017-07-23,2017-07-23 21:00:00,8.37376284,48.99776582
Down with the Gypsies,18:15,Feldbuhne,2017-07-23,2017-07-23 18:15:00,8.37221654,49.00138549
Me + Marie,19:45,Feldbuhne,2017-07-23,2017-07-23 19:45:00,8.37221654,49.00138549
Wallis Bird,21:30,Feldbuhne,2017-07-23,2017-07-23 21:30:00,8.37221654,49.00138549
Chris Vinylist,16:30,DJ-Buhne,2017-07-23,2017-07-23 16:30:00,8.3721874,48.99948011
Michael Ellis (DJ),18:00,DJ-Buhne,2017-07-23,2017-07-23 18:00:00,8.3721874,48.99948011
Philipp Werner,19:30,DJ-Buhne,2017-07-23,2017-07-23 19:30:00,8.3721874,48.99948011
Marcus Worgull,21:00,DJ-Buhne,2017-07-23,2017-07-23 21:00:00,8.3721874,48.99948011
Von Wegen Lisbeth,17:30,Hauptbuhne,2018-07-20,2018-07-20 17:30:00,8.37376284,48.99776582
Bosse,19:10,Hauptbuhne,2018-07-20,2018-07-20 19:10:00,8.37376284,48.99776582
Mando Diao,21:00,Hauptbuhne,2018-07-20,2018-07-20 21:00:00,8.37376284,48.99776582
Confidence Man,23:00,Hauptbuhne,2018-07-20,2018-07-20 23:00:00,8.37376284,48.99776582
Treepl One,17:30,Feldbuhne,2018-07-20,2018-07-20 17:30:00,8.37221654,49.00138549
CHA & Headbud,18:15,Feldbuhne,2018-07-20,2018-07-20 18:15:00,8.37221654,49.00138549
OJAY The KID,19:00,Feldbuhne,2018-07-20,2018-07-20 19:00:00,8.37221654,49.00138549
Hombre + DGZ Family,20:00,Feldbuhne,2018-07-20,2018-07-20 20:00:00,8.37221654,49.00138549
dalek,21:15,Feldbuhne,2018-07-20,2018-07-20 21:15:00,8.37221654,49.00138549
sookee,22:30,Feldbuhne,2018-07-20,2018-07-20 22:30:00,8.37221654,49.00138549
Adrian Schneider,16:00,DJ-Buhne,2018-07-20,2018-07-20 16:00:00,8.3721874,48.99948011
Katze und Vogel,17:00,DJ-Buhne,2018-07-20,2018-07-20 17:00:00,8.3721874,48.99948011
Dj Hal-ill,21:00,DJ-Buhne,2018-07-20,2018-07-20 21:00:00,8.3721874,48.99948011
Marc Oliver Holl,22:00,DJ-Buhne,2018-07-20,2018-07-20 22:00:00,8.3721874,48.99948011
Jandee,23:00,DJ-Buhne,2018-07-20,2018-07-20 23:00:00,8.3721874,48.99948011
Electric Bush Project,13:00,Hauptbuhne,2018-07-21,2018-07-21 13:00:00,8.37376284,48.99776582
Modeste,13:50,Hauptbuhne,2018-07-21,2018-07-21 13:50:00,8.37376284,48.99776582
Airwood,14:50,Hauptbuhne,2018-07-21,2018-07-21 14:50:00,8.37376284,48.99776582
Gurr,16:00,Hauptbuhne,2018-07-21,2018-07-21 16:00:00,8.37376284,48.99776582
Lucky Chops,17:30,Hauptbuhne,2018-07-21,2018-07-21 17:30:00,8.37376284,48.99776582
Gloria,19:00,Hauptbuhne,2018-07-21,2018-07-21 19:00:00,8.37376284,48.99776582
Marteria,21:00,Hauptbuhne,2018-07-21,2018-07-21 21:00:00,8.37376284,48.99776582
Losamol,23:00,Hauptbuhne,2018-07-21,2018-07-21 23:00:00,8.37376284,48.99776582
Johnny und die 5. Dimension,13:30,Feldbuhne,2018-07-21,2018-07-21 13:30:00,8.37221654,49.00138549
Transporter ,14:45,Feldbuhne,2018-07-21,2018-07-21 14:45:00,8.37221654,49.00138549
Sorry For Escalating,16:00,Feldbuhne,2018-07-21,2018-07-21 16:00:00,8.37221654,49.00138549
Sickboyz,17:15,Feldbuhne,2018-07-21,2018-07-21 17:15:00,8.37221654,49.00138549
Peter Kernel,18:30,Feldbuhne,2018-07-21,2018-07-21 18:30:00,8.37221654,49.00138549
Long Distance Calling,20:15,Feldbuhne,2018-07-21,2018-07-21 20:15:00,8.37221654,49.00138549
Miwata,22:30,Feldbuhne,2018-07-21,2018-07-21 22:30:00,8.37221654,49.00138549
Dojo Music,17:30,DJ-Buhne,2018-07-21,2018-07-21 17:30:00,8.3721874,48.99948011
Kollektiv B,19:30,DJ-Buhne,2018-07-21,2018-07-21 19:30:00,8.3721874,48.99948011
SoundofK,21:00,DJ-Buhne,2018-07-21,2018-07-21 21:00:00,8.3721874,48.99948011
Dj Soleimoon,22:00,DJ-Buhne,2018-07-21,2018-07-21 22:00:00,8.3721874,48.99948011
Chillah Dee,23:00,DJ-Buhne,2018-07-21,2018-07-21 23:00:00,8.3721874,48.99948011
Das Fest Klassikorchester,10:30,Hauptbuhne,2018-07-22,2018-07-22 10:30:00,8.37376284,48.99776582
Ibrahim Electric,15:00,Hauptbuhne,2018-07-22,2018-07-22 15:00:00,8.37376284,48.99776582
Tonbandgerat,16:20,Hauptbuhne,2018-07-22,2018-07-22 16:20:00,8.37376284,48.99776582
Bukahara,17:45,Hauptbuhne,2018-07-22,2018-07-22 17:45:00,8.37376284,48.99776582
Olli Schulz,19:15,Hauptbuhne,2018-07-22,2018-07-22 19:15:00,8.37376284,48.99776582
Simple Minds,21:00,Hauptbuhne,2018-07-22,2018-07-22 21:00:00,8.37376284,48.99776582
Soundtruck Rap Labor Showcase,12:00,Feldbuhne,2018-07-22,2018-07-22 12:00:00,8.37221654,49.00138549
Best of the show,13:00,Feldbuhne,2018-07-22,2018-07-22 13:00:00,8.37221654,49.00138549
The Silence,15:00,Feldbuhne,2018-07-22,2018-07-22 15:00:00,8.37221654,49.00138549
Jay Farmer,15:30,Feldbuhne,2018-07-22,2018-07-22 15:30:00,8.37221654,49.00138549
Karaoke show,16:30,Feldbuhne,2018-07-22,2018-07-22 16:30:00,8.37221654,49.00138549
Moodinies,18:30,Feldbuhne,2018-07-22,2018-07-22 18:30:00,8.37221654,49.00138549
Surma,19:45,Feldbuhne,2018-07-22,2018-07-22 19:45:00,8.37221654,49.00138549
Altın Gun,21:45,Feldbuhne,2018-07-22,2018-07-22 21:45:00,8.37221654,49.00138549
Konig Saatgut,15:30,DJ-Buhne,2018-07-22,2018-07-22 15:30:00,8.3721874,48.99948011
Thomas Hammann,19:00,DJ-Buhne,2018-07-22,2018-07-22 19:00:00,8.3721874,48.99948011
David Mayer,21:00,DJ-Buhne,2018-07-22,2018-07-22 21:00:00,8.3721874,48.99948011
