,A,B,C,D,E,F,mult_RF,mult_KNN,mult_SVC,mult_NB,SHIFTED TIMESTEP
A,0.209205459155,0.099883747487,0.0873047182129,0.0,0.137307175178,0.0965707427915,0.694444444444,0.666666666667,0.657407407407,0.634259259259,1
B,0.0671221410841,0.129810055569,0.0751301473641,0.0110637844542,0.0203446237263,0.102922674266,,,,,
C,0.0416059251431,0.083007037398,0.163899771511,0.0,0.0525402928965,0.0726897902297,,,,,
D,0.107136519519,0.016795944585,0.000212382173289,0.124249737442,0.0488704142336,0.0689953745257,,,,,
E,0.119301676335,0.0728154665405,0.0,0.037615291461,0.129857792421,0.130902302054,,,,,
F,0.0823758362575,0.0513360743903,0.0675052609956,0.000141964336562,0.0,0.168766646304,,,,,
Apop,0.0288738798803,0.0,0.0,0.00994907333037,0.0,0.0273978035494,,,,,
Cpop,0.059504293541,0.027104643844,0.0692353468174,0.0,0.0161278824889,0.0974135051733,,,,,
Total users,0.207700717664,0.141204026864,0.0962709027852,0.105397876637,0.202513336591,0.117709172789,,,,,
Temperature,0.0502231499232,0.0308624119921,0.0222234708879,0.000290400658003,0.0253727122797,0.0927245294863,,,,,
Conditions,0.0203771516546,0.0105138363148,0.0,0.0,0.0,0.071397772224,,,,,
Time index,0.117372194477,0.0780704737897,0.0949269874577,0.0648288813751,0.16066476374,0.147972215166,,,,,
